country,state,abbreviation
united kingdom,aberdeen city,aberdeen city
united kingdom,aberdeenshire,aberdeenshire
united kingdom,angus,angus
united kingdom,antrim,antrim
united kingdom,ards,ards
united kingdom,argyll and bute,argyll and bute
united kingdom,armagh,armagh
united kingdom,ballymena,ballymena
united kingdom,ballymoney,ballymoney
united kingdom,banbridge,banbridge
united kingdom,barking and dagenham,barking and dagenham
united kingdom,barnet,barnet
united kingdom,barnsley,barnsley
united kingdom,bath and north east somerset,bath and north east somerset
united kingdom,bedfordshire,bedfordshire
united kingdom,belfast,belfast
united kingdom,bexley,bexley
united kingdom,birmingham,birmingham
united kingdom,blackburn with darwen,blackburn with darwen
united kingdom,blackpool,blackpool
united kingdom,blaenau gwent,blaenau gwent
united kingdom,bolton,bolton
united kingdom,bournemouth,bournemouth
united kingdom,bracknell forest,bracknell forest
united kingdom,bradford,bradford
united kingdom,brent,brent
united kingdom,bridgend,bridgend
united kingdom,brighton and hove,brighton and hove
united kingdom,bristol,bristol
united kingdom,bromley,bromley
united kingdom,buckinghamshire,buckinghamshire
united kingdom,bury,bury
united kingdom,caerphilly,caerphilly
united kingdom,calderdale,calderdale
united kingdom,cambridgeshire,cambridgeshire
united kingdom,camden,camden
united kingdom,cardiff,cardiff
united kingdom,carmarthenshire,carmarthenshire
united kingdom,carrickfergus,carrickfergus
united kingdom,castlereagh,castlereagh
united kingdom,ceredigion,ceredigion
united kingdom,cheshire,cheshire
united kingdom,clackmannanshire,clackmannanshire
united kingdom,coleraine,coleraine
united kingdom,conwy,conwy
united kingdom,cookstown,cookstown
united kingdom,cornwall,cornwall
united kingdom,coventry,coventry
united kingdom,craigavon,craigavon
united kingdom,croydon,croydon
united kingdom,cumbria,cumbria
united kingdom,darlington,darlington
united kingdom,denbighshire,denbighshire
united kingdom,derby,derby
united kingdom,derbyshire,derbyshire
united kingdom,derry,derry
united kingdom,devon,devon
united kingdom,doncaster,doncaster
united kingdom,dorset,dorset
united kingdom,down,down
united kingdom,dudley,dudley
united kingdom,dumfries and galloway,dumfries and galloway
united kingdom,dundee city,dundee city
united kingdom,dungannon,dungannon
united kingdom,durham,durham
